ID POSTE;ID IP;CIDADAE;Lamp Type;Potência da Lâmpada;Relé Individual;UC Agrupadora;COORD_X;COORD_Y
5454769;22442345;PALMITAL;Vapor de Sódio;150;Sim;2100636;579540;7480369
6187784;22442346;PALMITAL;Vapor Metálico;250;Não;2100636;579382;7480596
6187784;22442347;PALMITAL;Vapor Metálico;250;Não;2100636;579382;7480596
6187785;22442348;PALMITAL;Vapor de Sódio;150;Sim;2100636;579351;7480607
6187786;22442349;PALMITAL;Vapor de Sódio;250;Sim;2100636;579316;7480621
5454763;22442350;PALMITAL;Vapor de Sódio;150;Sim;2100636;579506;7480435
5454765;22442351;PALMITAL;Vapor de Sódio;150;Sim;2100636;579494;7480403
5454766;22442352;PALMITAL;Vapor de Sódio;150;Sim;2100636;579483;7480371
5454977;22442353;PALMITAL;Vapor de Sódio;150;Sim;2100636;579509;7480381
5454525;22442354;PALMITAL;Vapor de Sódio;150;Sim;2100636;579471;7480340
5454976;22442355;PALMITAL;Vapor de Sódio;150;Sim;2100636;579479;7480391
5454774;22442356;PALMITAL;Vapor de Sódio;150;Sim;2100636;579447;7480403
5453862;22442357;PALMITAL;Vapor de Sódio;150;Sim;2100636;579381;7480358
5129781;22442358;PALMITAL;Vapor de Sódio;150;Sim;2100636;579629;7480336
6188984;22442359;PALMITAL;Vapor de Sódio;150;Sim;2100636;579594;7480377
6188983;22442360;PALMITAL;Vapor de Sódio;150;Sim;2100636;579583;7480346
6188982;22442361;PALMITAL;Vapor de Sódio;150;Sim;2100636;579571;7480312
5447910;22442362;PALMITAL;Vapor de Sódio;150;Sim;2100636;579781;7480280
6174166;22442363;PALMITAL;Vapor de Sódio;150;Sim;2100636;579730;7480407
5447909;22442364;PALMITAL;Vapor de Sódio;150;Sim;2100636;579752;7480291
6188118;22442365;PALMITAL;Vapor de Sódio;150;Não;2100636;579446;7480553
42575619;22442366;PALMITAL;Vapor de Sódio;150;Sim;2100636;579434;7480522
42575619;22442367;PALMITAL;Vapor de Sódio;150;Não;2100636;579434;7480522
6187979;22442368;PALMITAL;Vapor de Sódio;150;Sim;2100636;579423;7480489
6187979;22442369;PALMITAL;Vapor de Sódio;150;Não;2100636;579423;7480489
6187978;22442370;PALMITAL;Vapor de Sódio;150;Sim;2100636;579417;7480453
6187978;22442371;PALMITAL;Vapor de Sódio;150;Não;2100636;579417;7480453
6188496;22442372;PALMITAL;Vapor de Sódio;150;Sim;2100636;579406;7480424
6188496;22442373;PALMITAL;Vapor de Sódio;150;Não;2100636;579406;7480424
5453863;22442374;PALMITAL;Vapor de Sódio;150;Sim;2100636;579394;7480391
5453863;22442375;PALMITAL;Vapor de Sódio;150;Não;2100636;579394;7480391
5129577;22442376;PALMITAL;Led;100;Sim;2100636;580055;7479859
5447394;22442377;PALMITAL;Led;100;Sim;2100636;580411;7481273
5141563;22442378;PALMITAL;Led;100;Sim;2100636;580398;7481236
5447272;22442379;PALMITAL;Vapor Metálico;250;Sim;2100636;580951;7479636
5129037;22442380;PALMITAL;Vapor de Sódio;100;Sim;2100636;581456;7480975
5446752;22442381;PALMITAL;Vapor de Sódio;100;Sim;2100636;581482;7480947
6171443;22442382;PALMITAL;Vapor de Sódio;150;Sim;2100636;581460;7480938
5129038;22442383;PALMITAL;Vapor de Sódio;100;Sim;2100636;581506;7480919
5447222;22442384;PALMITAL;Vapor de Sódio;150;Sim;2100636;581625;7480924
6172201;22442385;PALMITAL;Vapor de Sódio;100;Sim;2100636;581095;7479260
6172202;22442386;PALMITAL;Vapor de Sódio;100;Sim;2100636;581086;7479229
6172203;22442387;PALMITAL;Vapor de Sódio;100;Sim;2100636;581114;7479218
6172204;22442388;PALMITAL;Vapor de Sódio;100;Sim;2100636;581143;7479207
6172205;22442389;PALMITAL;Vapor de Sódio;100;Sim;2100636;581168;7479242
6172206;22442390;PALMITAL;Vapor de Sódio;150;Sim;2100636;581182;7479265
6172207;22442391;PALMITAL;Vapor de Sódio;100;Sim;2100636;581201;7479297
6171451;22442392;PALMITAL;Vapor de Sódio;100;Sim;2100636;581241;7479331
6171452;22442393;PALMITAL;Vapor de Sódio;250;Sim;2100636;581258;7479361
6171453;22442394;PALMITAL;Vapor de Sódio;250;Sim;2100636;581276;7479396
6171454;22442395;PALMITAL;Led;100;Sim;2100636;581285;7479421
5440185;22442396;PALMITAL;Led;100;Sim;2100636;581226;7479426
5129762;22442397;PALMITAL;Led;100;Sim;2100636;581266;7479410
6171306;22442398;PALMITAL;Led;100;Sim;2100636;581310;7479394
6171306;22442399;PALMITAL;Vapor Metálico;250;Não;2100636;581310;7479394
6171306;22442400;PALMITAL;Vapor de Sódio;250;Não;2100636;581310;7479394
6171306;22442401;PALMITAL;Vapor Metálico;250;Não;2100636;581310;7479394
6171306;22442402;PALMITAL;Vapor Metálico;250;Não;2100636;581310;7479394
6171306;22442403;PALMITAL;Vapor de Sódio;250;Não;2100636;581310;7479394
6171449;22442404;PALMITAL;Vapor de Sódio;150;Sim;2100636;581261;7479329
6188325;22442405;PALMITAL;Vapor de Sódio;150;Sim;2100636;580104;7480271
6171424;22442406;PALMITAL;Vapor de Sódio;150;Sim;2100636;580074;7480282
6171425;22442407;PALMITAL;Vapor de Sódio;150;Sim;2100636;580039;7480295
6171426;22442408;PALMITAL;Vapor de Sódio;150;Sim;2100636;580010;7480305
5129776;22442409;PALMITAL;Led;100;Sim;2100636;580048;7480278
5440374;22442410;PALMITAL;Led;100;Sim;2100636;580060;7480310
5440375;22442411;PALMITAL;Led;100;Sim;2100636;580072;7480344
5440376;22442412;PALMITAL;Led;100;Sim;2100636;580083;7480375
5440377;22442413;PALMITAL;Led;100;Sim;2100636;580096;7480409
5440378;22442414;PALMITAL;Led;100;Sim;2100636;580108;7480442
5440380;22442415;PALMITAL;Led;100;Sim;2100636;580119;7480473
5447772;22442416;PALMITAL;Led;100;Sim;2100636;580128;7480498
6171460;22442417;PALMITAL;Vapor de Sódio;150;Sim;2100636;580154;7480451
6171461;22442418;PALMITAL;Vapor de Sódio;250;Sim;2100636;580167;7480446
5129874;22442419;PALMITAL;Vapor de Sódio;150;Sim;2100636;580112;7480386
5129874;22442420;PALMITAL;Vapor de Sódio;250;Não;2100636;580112;7480386
6171462;22442421;PALMITAL;Vapor de Sódio;150;Sim;2100636;580198;7480435
6171463;22442422;PALMITAL;Vapor de Sódio;100;Sim;2100636;580228;7480424
5129872;22442423;PALMITAL;Vapor de Sódio;150;Sim;2100636;580078;7480398
5446036;22442424;PALMITAL;Vapor de Sódio;150;Sim;2100636;580043;7480410
5447908;22442425;PALMITAL;Vapor de Sódio;150;Sim;2100636;579722;7480302
5453396;22442426;PALMITAL;Vapor de Sódio;150;Sim;2100636;579697;7480311
5453395;22442427;PALMITAL;Vapor de Sódio;150;Sim;2100636;579657;7480326
5453393;22442428;PALMITAL;Vapor de Sódio;150;Sim;2100636;579598;7480348
5453392;22442429;PALMITAL;Vapor de Sódio;150;Sim;2100636;579569;7480358
6189128;22442430;PALMITAL;Vapor de Sódio;150;Sim;2100636;579605;7480405
5129668;22442431;PALMITAL;Vapor de Sódio;150;Sim;2100636;579457;7480183
6188319;22442432;PALMITAL;Vapor de Sódio;150;Sim;2100636;579332;7480226
6188315;22442433;PALMITAL;Vapor de Sódio;150;Sim;2100636;579319;7480190
6188314;22442434;PALMITAL;Vapor de Sódio;150;Sim;2100636;579309;7480164
6188320;22442435;PALMITAL;Vapor de Sódio;150;Sim;2100636;579342;7480253
5454309;22442436;PALMITAL;Vapor de Sódio;150;Sim;2100636;579438;7480248
5454310;22442437;PALMITAL;Vapor de Sódio;150;Sim;2100636;579426;7480216
5454311;22442438;PALMITAL;Vapor de Sódio;150;Sim;2100636;579416;7480189
6187775;22442439;PALMITAL;Vapor de Sódio;150;Sim;2100636;579406;7480162
6187776;22442440;PALMITAL;Vapor de Sódio;150;Sim;2100636;579394;7480130
6188494;22442441;PALMITAL;Vapor de Sódio;150;Sim;2100636;579496;7480168
6188311;22442442;PALMITAL;Vapor de Sódio;150;Sim;2100636;579316;7480124
6188308;22442443;PALMITAL;Vapor de Sódio;150;Sim;2100636;579339;7480115
6188307;22442444;PALMITAL;Vapor de Sódio;150;Sim;2100636;579368;7480105
6457889;22442445;PALMITAL;Vapor de Sódio;100;Sim;2100636;579796;7478543
6457891;22442446;PALMITAL;Vapor de Sódio;100;Sim;2100636;579821;7478605
5741814;22442447;PALMITAL;Vapor de Sódio;100;Sim;2100636;579781;7478463
6457886;22442448;PALMITAL;Vapor de Sódio;100;Sim;2100636;579714;7478491
6457887;22442449;PALMITAL;Vapor de Sódio;100;Sim;2100636;579682;7478504
6457885;22442450;PALMITAL;Vapor de Sódio;100;Sim;2100636;579693;7478476
6457892;22442451;PALMITAL;Vapor de Sódio;100;Sim;2100636;579707;7478511
6457893;22442452;PALMITAL;Vapor de Sódio;100;Sim;2100636;579718;7478538
6457894;22442453;PALMITAL;Vapor de Sódio;100;Sim;2100636;579729;7478569
6457895;22442454;PALMITAL;Vapor de Sódio;100;Sim;2100636;579741;7478599
5741599;22442455;PALMITAL;Vapor de Sódio;100;Sim;2100636;579695;7478336
6457698;22442456;PALMITAL;Vapor de Sódio;100;Sim;2100636;579804;7478368
6457699;22442457;PALMITAL;Vapor de Sódio;100;Sim;2100636;579814;7478395
5741601;22442458;PALMITAL;Vapor de Sódio;100;Sim;2100636;579716;7478346
5741602;22442459;PALMITAL;Vapor de Sódio;100;Sim;2100636;579724;7478367
5741603;22442460;PALMITAL;Vapor de Sódio;100;Sim;2100636;579735;7478395
5741604;22442461;PALMITAL;Vapor de Sódio;100;Sim;2100636;579746;7478422
6457881;22442462;PALMITAL;Vapor de Sódio;100;Sim;2100636;579650;7478372
6457882;22442463;PALMITAL;Vapor de Sódio;100;Sim;2100636;579659;7478393
6457695;22442464;PALMITAL;Vapor de Sódio;100;Sim;2100636;579627;7478362
5444915;22442465;PALMITAL;Vapor de Sódio;250;Sim;2100636;581226;7479315
6171450;22442466;PALMITAL;Vapor de Sódio;250;Sim;2100636;581278;7479361
5129765;22442467;PALMITAL;Led;100;Sim;2100636;581122;7479479
5446290;22442468;PALMITAL;Vapor de Sódio;250;Sim;2100636;581012;7479519
6171295;22442469;PALMITAL;Led;100;Sim;2100636;581270;7479425
6172197;22442470;PALMITAL;Led;100;Sim;2100636;581236;7479437
5811403;22442471;PALMITAL;Led;100;Sim;2100636;581203;7479449
6172538;22442472;PALMITAL;Led;100;Sim;2100636;581179;7479458
6172539;22442473;PALMITAL;Led;100;Sim;2100636;581152;7479468
5446288;22442474;PALMITAL;Led;100;Sim;2100636;581092;7479489
5143598;22442475;PALMITAL;Led;100;Sim;2100636;581067;7479499
5446289;22442476;PALMITAL;Led;100;Sim;2100636;581038;7479509
5129680;22442477;PALMITAL;Vapor de Sódio;250;Sim;2100636;580985;7479515
5447994;22442478;PALMITAL;Led;100;Sim;2100636;581158;7479451
5811400;22442479;PALMITAL;Led;100;Sim;2100636;581189;7479439
5445331;22442480;PALMITAL;Led;100;Sim;2100636;580979;7479531
6173020;22442481;PALMITAL;Led;100;Sim;2100636;580952;7479541
6173021;22442482;PALMITAL;Led;100;Sim;2100636;580920;7479552
6173022;22442483;PALMITAL;Led;100;Sim;2100636;580900;7479560
6173023;22442484;PALMITAL;Led;100;Sim;2100636;580876;7479572
5445300;22442485;PALMITAL;Vapor de Sódio;150;Sim;2100636;580204;7480353
5445299;22442486;PALMITAL;Vapor de Sódio;150;Sim;2100636;580234;7480343
5446268;22442487;PALMITAL;Vapor de Sódio;150;Sim;2100636;580210;7480447
5446268;22442488;PALMITAL;Vapor Metálico;250;Sim;2100636;580210;7480447
5446029;22442489;PALMITAL;Vapor de Sódio;150;Sim;2100636;580202;7480419
5129877;22442490;PALMITAL;Vapor de Sódio;150;Sim;2100636;580241;7480552
6172999;22442491;PALMITAL;Vapor de Sódio;100;Sim;2100636;580264;7480570
6171861;22442492;PALMITAL;Vapor de Sódio;100;Sim;2100636;580291;7480560
6171617;22442493;PALMITAL;Vapor de Sódio;100;Sim;2100636;580315;7480552
6172995;22442494;PALMITAL;Vapor de Sódio;100;Sim;2100636;580275;7480487
6172996;22442495;PALMITAL;Vapor de Sódio;100;Sim;2100636;580241;7480499
6172997;22442496;PALMITAL;Vapor de Sódio;100;Sim;2100636;580205;7480512
5129876;22442497;PALMITAL;Vapor de Sódio;150;Sim;2100636;580216;7480467
5445306;22442498;PALMITAL;Vapor de Sódio;150;Sim;2100636;580224;7480494
